ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
1,25.0,1,49.0,91107,4.0,1.6,1.0,0,1.0,0.0,0,0.0,0
2,45.0,19,34.0,90089,3.0,1.5,1.0,0,1.0,0.0,0,0.0,0
3,39.0,15,11.0,94720,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0
4,35.0,9,100.0,94112,1.0,2.7,2.0,0,0.0,0.0,0,0.0,0
5,35.0,8,45.0,91330,4.0,1.0,2.0,0,0.0,0.0,0,1.0,0
6,37.0,13,29.0,92121,4.0,0.4,2.0,155,0.0,0.0,1,0.0,0
7,53.0,27,72.0,91711,2.0,1.5,2.0,0,0.0,0.0,1,0.0,0
8,50.0,24,22.0,93943,1.0,0.3,3.0,0,0.0,0.0,0,1.0,0
9,35.0,10,81.0,90089,3.0,0.6,2.0,104,0.0,0.0,1,0.0,0
10,34.0,9,180.0,93023,1.0,8.9,3.0,0,0.0,0.0,0,0.0,1
11,65.0,39,105.0,94710,4.0,2.4,3.0,0,0.0,0.0,0,0.0,0
12,29.0,5,45.0,90277,3.0,0.1,2.0,0,0.0,0.0,1,0.0,0
13,48.0,23,114.0,93106,2.0,3.8,3.0,0,1.0,0.0,0,0.0,0
14,59.0,32,40.0,94920,4.0,2.5,2.0,0,0.0,0.0,1,0.0,0
15,67.0,41,112.0,91741,1.0,2.0,1.0,0,1.0,0.0,0,0.0,0
16,60.0,30,22.0,95054,1.0,1.5,3.0,0,0.0,0.0,1,1.0,0
17,38.0,14,130.0,95010,4.0,4.7,3.0,134,0.0,0.0,0,0.0,1
18,42.0,18,81.0,94305,4.0,2.4,1.0,0,0.0,0.0,0,0.0,0
19,46.0,21,193.0,91604,2.0,8.1,3.0,0,0.0,0.0,0,0.0,1
20,55.0,28,21.0,94720,1.0,0.5,2.0,0,1.0,0.0,0,1.0,0
21,56.0,31,25.0,94015,4.0,0.9,2.0,111,0.0,0.0,1,0.0,0
22,57.0,27,63.0,90095,3.0,2.0,3.0,0,0.0,0.0,1,0.0,0
23,29.0,5,62.0,90277,1.0,1.2,1.0,260,0.0,0.0,1,0.0,0
24,44.0,18,43.0,91320,2.0,0.7,1.0,163,1.0,0.0,0,0.0,0
25,36.0,11,152.0,95521,2.0,3.9,1.0,159,0.0,0.0,0,1.0,0
26,43.0,19,29.0,94305,3.0,0.5,1.0,97,0.0,0.0,1,0.0,0
27,40.0,16,83.0,95064,4.0,0.2,3.0,0,0.0,0.0,0,0.0,0
28,46.0,20,158.0,90064,1.0,2.4,1.0,0,0.0,0.0,1,1.0,0
29,56.0,30,48.0,94539,1.0,2.2,3.0,0,0.0,0.0,1,1.0,0
30,38.0,13,119.0,94104,1.0,3.3,2.0,0,0.0,1.0,1,1.0,1
31,59.0,35,35.0,93106,1.0,1.2,3.0,122,0.0,0.0,1,0.0,0
32,40.0,16,29.0,94117,1.0,2.0,2.0,0,0.0,0.0,1,0.0,0
33,53.0,28,41.0,94801,2.0,0.6,3.0,193,0.0,0.0,0,0.0,0
34,30.0,6,18.0,91330,3.0,0.9,3.0,0,0.0,0.0,0,0.0,0
35,31.0,5,50.0,94035,4.0,1.8,3.0,0,0.0,0.0,1,0.0,0
36,48.0,24,81.0,92647,3.0,0.7,1.0,0,0.0,0.0,0,0.0,0
37,59.0,35,121.0,94720,1.0,2.9,1.0,0,0.0,0.0,0,1.0,0
38,51.0,25,71.0,95814,1.0,1.4,3.0,198,0.0,0.0,0,0.0,0
39,42.0,18,141.0,94114,3.0,5.0,3.0,0,1.0,1.0,1,0.0,1
40,38.0,13,80.0,94115,4.0,0.7,3.0,285,0.0,0.0,1,0.0,0
41,57.0,32,84.0,92672,3.0,1.6,3.0,0,1.0,0.0,0,0.0,0
42,34.0,9,60.0,94122,3.0,2.3,1.0,0,0.0,0.0,0,0.0,0
43,32.0,7,132.0,90019,4.0,1.1,2.0,412,0.0,0.0,1,0.0,1
44,39.0,15,45.0,95616,1.0,0.7,1.0,0,0.0,0.0,1,0.0,0
45,46.0,20,104.0,94065,1.0,5.7,1.0,0,0.0,0.0,1,1.0,0
46,57.0,31,52.0,94720,4.0,2.5,1.0,0,0.0,0.0,0,1.0,0
47,39.0,14,43.0,95014,3.0,0.7,2.0,153,0.0,0.0,1,0.0,0
48,37.0,12,194.0,91380,4.0,0.2,3.0,211,1.0,1.0,1,1.0,1
49,56.0,26,81.0,95747,2.0,4.5,3.0,0,0.0,0.0,0,1.0,0
50,40.0,16,49.0,92373,1.0,1.8,1.0,0,0.0,0.0,0,1.0,0
51,32.0,8,8.0,92093,4.0,0.7,2.0,0,1.0,0.0,1,0.0,0
52,61.0,37,131.0,94720,1.0,2.9,1.0,0,0.0,0.0,1,0.0,0
53,30.0,6,72.0,94005,1.0,0.1,1.0,207,0.0,0.0,0,0.0,0
54,50.0,26,190.0,90245,3.0,2.1,3.0,240,0.0,0.0,1,0.0,1
55,29.0,5,44.0,95819,1.0,0.2,3.0,0,0.0,0.0,1,0.0,0
56,41.0,17,139.0,94022,2.0,8.0,1.0,0,0.0,0.0,1,0.0,0
57,55.0,30,29.0,94005,3.0,0.1,2.0,0,1.0,1.0,1,0.0,0
58,56.0,31,131.0,95616,2.0,1.2,3.0,0,0.0,0.0,0,0.0,1
59,28.0,2,93.0,94065,2.0,0.2,1.0,0,0.0,0.0,0,0.0,0
60,31.0,5,188.0,91320,2.0,4.5,1.0,455,0.0,0.0,0,0.0,0
61,49.0,24,39.0,90404,3.0,1.7,2.0,0,1.0,0.0,1,0.0,0
62,47.0,21,125.0,93407,1.0,5.7,1.0,112,1.0,0.0,0,0.0,0
63,42.0,18,22.0,90089,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0
64,42.0,17,32.0,94523,4.0,0.0,2.0,0,0.0,0.0,1,0.0,0
65,47.0,23,105.0,90024,2.0,3.3,1.0,0,0.0,0.0,0,0.0,0
66,59.0,35,131.0,91360,1.0,3.8,1.0,0,0.0,0.0,1,1.0,0
67,62.0,36,105.0,95670,2.0,2.8,1.0,336,0.0,0.0,0,0.0,0
68,53.0,23,45.0,95123,4.0,2.0,3.0,132,1.0,0.0,0,0.0,0
69,47.0,21,60.0,93407,3.0,2.1,1.0,0,0.0,0.0,1,1.0,0
70,53.0,29,20.0,90045,4.0,0.2,1.0,0,0.0,0.0,1,0.0,0
71,42.0,18,115.0,91335,1.0,3.5,1.0,0,0.0,0.0,0,1.0,0
72,53.0,29,69.0,93907,4.0,1.0,2.0,0,0.0,0.0,1,0.0,0
73,44.0,20,130.0,92007,1.0,5.0,1.0,0,0.0,0.0,0,1.0,0
74,41.0,16,85.0,94606,1.0,4.0,3.0,0,0.0,0.0,1,1.0,0
75,28.0,3,135.0,94611,2.0,3.3,1.0,0,0.0,0.0,0,1.0,0
76,31.0,7,135.0,94901,4.0,3.8,2.0,0,0.0,1.0,1,1.0,1
77,58.0,32,12.0,91320,3.0,0.3,3.0,0,0.0,0.0,0,0.0,0
78,46.0,20,29.0,92220,3.0,0.5,2.0,0,0.0,0.0,0,0.0,0
79,54.0,30,133.0,93305,2.0,2.6,3.0,0,0.0,0.0,0,0.0,1
80,50.0,26,19.0,94720,2.0,0.4,1.0,118,0.0,0.0,1,0.0,0
81,60.0,36,41.0,95134,4.0,1.3,1.0,174,0.0,0.0,1,1.0,0
82,47.0,22,40.0,94612,3.0,2.7,2.0,0,0.0,0.0,1,0.0,0
83,41.0,16,82.0,92507,1.0,4.0,3.0,0,0.0,0.0,1,0.0,0
84,33.0,9,50.0,94305,1.0,2.4,2.0,0,0.0,0.0,0,0.0,0
85,46.0,22,18.0,91730,1.0,0.9,3.0,0,0.0,0.0,1,0.0,0
86,27.0,2,109.0,94005,4.0,1.8,3.0,0,0.0,0.0,0,0.0,0
87,40.0,16,42.0,94501,4.0,2.2,2.0,126,0.0,0.0,0,0.0,0
88,48.0,22,78.0,94305,3.0,1.1,1.0,0,0.0,0.0,1,0.0,0
89,65.0,41,51.0,94117,2.0,1.1,1.0,0,0.0,0.0,1,0.0,0
90,25.0,-1,113.0,94303,4.0,2.3,3.0,0,0.0,0.0,0,1.0,0
91,55.0,30,118.0,90277,4.0,5.6,2.0,0,0.0,0.0,1,0.0,1
92,35.0,10,29.0,94105,4.0,1.1,3.0,0,0.0,0.0,1,0.0,0
93,43.0,19,34.0,94305,3.0,0.6,2.0,0,0.0,0.0,0,0.0,0
94,60.0,34,64.0,94550,2.0,1.7,3.0,236,1.0,0.0,1,0.0,0
95,65.0,39,121.0,92612,1.0,2.0,1.0,0,0.0,0.0,0,0.0,0
96,38.0,12,48.0,95617,4.0,0.2,3.0,0,0.0,0.0,1,0.0,0
97,41.0,15,80.0,95014,1.0,5.2,1.0,0,0.0,0.0,0,0.0,0
98,54.0,28,161.0,92121,1.0,2.9,1.0,0,0.0,0.0,1,0.0,0
99,49.0,23,94.0,92374,1.0,0.3,1.0,0,0.0,0.0,1,0.0,0
100,66.0,41,15.0,91711,3.0,0.1,3.0,0,0.0,0.0,1,0.0,0
101,48.0,23,74.0,94080,1.0,1.2,1.0,0,0.0,0.0,1,0.0,0
102,61.0,36,30.0,94608,3.0,1.3,2.0,0,0.0,0.0,0,0.0,0
103,53.0,23,44.0,93555,3.0,1.0,3.0,198,0.0,0.0,1,1.0,0
104,43.0,18,22.0,95670,2.0,0.3,2.0,0,0.0,0.0,1,0.0,0
105,56.0,32,38.0,93311,4.0,1.3,1.0,166,0.0,0.0,1,1.0,0
106,24.0,0,35.0,94704,3.0,0.1,2.0,0,1.0,0.0,1,0.0,0
107,,17,69.0,92717,4.0,2.9,1.0,0,0.0,0.0,1,1.0,0
108,42.0,18,43.0,92037,1.0,0.7,1.0,136,0.0,0.0,0,0.0,0
109,33.0,7,32.0,95136,1.0,0.6,3.0,166,0.0,0.0,1,0.0,0
110,43.0,17,49.0,94542,1.0,2.8,1.0,0,0.0,0.0,1,0.0,0
111,41.0,14,9.0,91330,3.0,1.0,2.0,0,0.0,0.0,0,0.0,0
112,62.0,38,45.0,94143,4.0,1.3,2.0,0,0.0,0.0,1,0.0,0
113,40.0,15,82.0,91775,3.0,1.0,1.0,309,0.0,0.0,0,0.0,0
114,58.0,34,92.0,92703,2.0,2.8,1.0,103,0.0,0.0,0,0.0,0
115,39.0,14,39.0,92354,3.0,0.5,3.0,0,0.0,0.0,1,0.0,0
116,65.0,40,81.0,92024,3.0,1.8,2.0,0,0.0,0.0,1,0.0,0
117,54.0,29,35.0,92831,1.0,1.5,2.0,0,0.0,0.0,1,0.0,0
118,58.0,33,61.0,92833,2.0,2.3,3.0,193,0.0,0.0,1,0.0,0
119,41.0,16,73.0,92647,3.0,3.0,1.0,0,0.0,0.0,1,0.0,0
120,32.0,7,112.0,94304,1.0,4.6,1.0,366,0.0,0.0,0,0.0,0
121,54.0,29,12.0,90057,2.0,0.2,3.0,0,0.0,0.0,1,0.0,0
122,52.0,26,38.0,91711,3.0,0.9,3.0,0,0.0,0.0,1,0.0,0
